STAID,DRAIN_SQKM,CLASS,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,WD_BASIN,WD_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,TOPWET,RUNAVE7100,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER,NDAMS_2009,RAW_DIS_NEAREST_DAM,CANALS_PCT,RAW_DIS_NEAREST_CANAL,PCT_IRRIG_AG,HIRES_LENTIC_DENS,HIRES_LENTIC_MEANSIZ,CLAYAVE,SILTAVE,SANDAVE,SLOPE_PCT
01011000,3186.8,Non-ref,8,1.29,133.4,133,507.5,37.5,0.110,0.57,1.53,11.50,484.4,62.27,19.78,9.84,4.10,2.89,0.00,1.12,2,21.9,0.00,-999.0,0.00,0.231,177.2,18.36,59.77,21.87,5.9
01013500,2252.7,Ref,5,0.87,136.4,132,504.7,36.9,0.102,0.67,2.11,12.11,604.1,60.87,19.82,8.37,7.95,2.58,0.00,0.41,3,10.6,0.00,-999.0,0.08,0.348,181.4,14.76,62.82,22.43,6.9
01015800,2313.8,Non-ref,4,0.91,133.8,132,506.2,37.1,0.078,0.58,1.74,12.19,585.0,57.41,19.11,12.34,6.18,3.42,0.00,1.54,1,42.7,0.00,-999.0,0.00,0.532,41.2,15.41,61.56,23.04,4.6
01016500,847.8,Non-ref,4,1.11,136.1,132,501.8,37.5,0.089,0.71,1.69,11.80,583.6,59.31,19.06,11.43,9.87,0.00,0.00,0.34,1,43.5,0.00,-999.0,0.00,0.264,38.8,16.00,60.75,23.25,6.8
01017000,4278.9,Non-ref,5,0.96,134.4,136,506.4,37.2,0.082,0.63,1.61,12.12,584.5,58.59,18.85,11.89,6.10,3.53,0.00,1.05,4,1.6,0.00,-999.0,0.03,0.425,45.3,16.40,60.71,22.89,4.8
01017060,14.9,Non-ref,6,2.80,139.7,141,530.6,36.1,0.088,0.49,1.07,11.56,584.0,94.48,5.52,0.00,0.00,0.00,0.00,0.00,0,-999.0,0.00,-999.0,3.81,0.404,12.7,17.66,59.45,22.88,2.6
01017290,594.6,Non-ref,11,1.00,139.3,143,517.5,36.8,0.098,0.64,2.04,12.27,584.6,61.68,19.72,8.71,9.05,0.00,0.00,0.84,3,4.8,0.00,-999.0,0.18,0.278,45.0,17.08,59.77,23.15,3.8
01017550,10.0,Ref,7,2.90,132.4,132,539.1,35.4,0.071,0.26,1.08,11.32,596.0,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,-999.0,0.00,-999.0,1.23,0.698,2.1,17.66,59.45,22.88,2.4
01017960,226.3,Non-ref,7,1.70,130.9,131,533.7,36.9,0.052,0.71,1.46,12.18,599.7,59.69,22.85,13.31,4.16,0.00,0.00,0.00,2,9.5,0.00,-999.0,0.72,0.583,54.6,12.26,62.02,25.73,5.0
01018000,450.5,Non-ref,14,1.29,130.9,131,536.6,36.8,0.050,0.67,1.46,12.72,600.4,61.10,20.04,16.10,2.76,0.00,0.00,0.00,2,10.6,0.00,-999.0,0.81,0.801,21.7,12.90,61.50,25.61,3.6
