"site_no" "feature_id" "nws_id" "action_stage" "minor_stage" "moderate_stage" "major_stage" "record_stage" "action_flow" "minor_flow" "moderate_flow" "major_flow" "record_flow" "lat" "lon" "location"
"1" "08330000" 17819068 "ABQN5" 8 8 10 12.5 12.3 "9300" "9300" "15600" "25500" 25000 35.0872421264648 -106.67830657959 "RIO GRANDE AT ALBUQUERQUE NM"
"2" "08386000" 20779308 "ACMN5" 12 13 14.5 16 14.89 "17700" "20970" "45200" "78000" 29000 33.5265159606934 -104.371337890625 "PECOS RIVER NEAR ACME NM"
"3" "08287000" 17846986 "AICN5" 4.8 5.4 5.8 6.3 6.69 "1810" "2435" "2840" "4632.36147278371" 2990 36.2358894348145 -106.41650390625 "RIO CHAMA BELOW ABIQUIU DAM NM"
"4" "09355500" 17040461 "ARCN5" NA 7 NA NA NA NA "5700" NA NA NA 36.8082427978516 -107.684852600098 "SAN JUAN RIVER NEAR ARCHULETA NM"
"5" "09364500" 17016187 "ARFN5" 9 10 12 14 16.5 "6580" "8810" "16000" "24000" 30000 36.7217864990234 -108.201477050781 "ANIMAS RIVER AT FARMINGTON NM"
"6" "08379500" 20816582 "ATCN5" 12 15 20 24 24 "12600" "21600" "45000" "73000" 73000 35.1841354370117 -105.096069335938 "PECOS RIVER NEAR ANTON CHICO NM"
"7" "08353000" 943020235 "BNDN5" 18 19.5 23 27 27.9 "4760" "6420" "11560" "26000" 18800 34.3966445922852 -106.848693847656 "RIO PUERCO NEAR BERNARDO NM"
"8" "09363500" 17015297 "CDRC2" 9.5 10.5 11.5 12.5 11.45 "7400" "10225" "13450" "17000" 13100 37.0245666503906 -107.873908996582 "ANIMAS RIVER NEAR CEDAR HILL NM"
"9" "08263500" 17863292 "CERN5" 15 16 17.5 20 15.78 "8120" "9400" "11500" "15500" 9740 36.7446403503418 -105.681053161621 "RIO GRANDE NEAR CERRO NM"
"10" "07207000" 20059116 "CMMN5" 5 5 10 12.5 12.42 "1100" "1100" "8000" "14000" 15500 36.5196418762207 -104.979873657227 "CIMARRON RIVER NEAR CIMARRON NM"
"11" "07207500" 20058852 "CMRN5" NA 9 11 NA NA NA "3550" "5510" NA NA 36.5745811462402 -104.948860168457 "PONIL CREEK NEAR CIMARRON NM"
"12" "08290000" 17848906 "CMTN5" 6.5 8 10 11.5 11.68 "2900" "5500" "15320.2598417395" "38141.581235004" 4530 36.0762062072754 -106.114860534668 "RIO CHAMA NEAR CHAMITA NM"
"13" "08382500" 20817726 "COLN5" 12 16 20 24 28.41 "4510" "8630" "12752" "17270" 2700 35.1983299255371 -104.903869628906 "GALLINAS R NR COLONIAS NM"
"14" "08255500" 17863212 "COSN5" NA 5 NA NA NA NA "900" NA NA NA 36.9648513793945 -105.498573303223 "COSTILLA CREEK NEAR COSTILLA NM"
"15" "08317400" 17834678 "CTDN5" 6 6.6 7.5 9 7.05 "8040" "10000" "13500" "20000" 10200 35.6171455383301 -106.331954956055 "RIO GRANDE BELOW COCHITI DAM NM"
"16" "08390500" 20774462 "DARN5" 25 26 27 28 28.78 "7660" "31700" "105000" "148673" 27000 33.3491096496582 -104.850936889648 "RIO HONDO AT DIAMOND A RANCH NR ROSWELL NM"
"17" "07203000" 20066137 "DAWN5" 9 9 13 16 15.25 "3150" "3150" "6750" "16500" 12600 36.6782569885254 -104.787528991699 "VERMEJO RIVER NEAR DAWSON NM"
"18" "08279000" 17865320 "DIXN5" 12 13 14 17 NA "2300" "3300" "5200" "208968.799196512" NA 36.2083549499512 -105.910354614258 "EMBUDO CREEK AT DIXON NM"
"19" "08279500" 17864756 "EMBN5" 8 10 12 15 15.9 "4300" "6500" "9000" "13700" 16200 36.2055320739746 -105.963714599609 "RIO GRANDE AT EMBUDO NM"
"20" "09365000" 17003788 "FRMN5" 7 8.5 10 12 12.3 "10000" "14400" "21500" "35000" 31124.0411035847 36.7213973999023 -108.22403717041 "SAN JUAN RIVER AT FARMINGTON NM"
"21" "07216500" 20044782 "GOLN5" 5.5 5.5 7 11.5 8.7 "4700" "4700" "8500" "25000" 14000 35.8922119140625 -105.162872314453 "MORA RIVER NEAR GOLONDRINAS NM"
"22" "09444000" 21358611 "GSFN5" 12 15 17 19 20.8 "7230" "15800" "23700" "30400" 37100 33.2481346130371 -108.879089355469 "SAN FRANCISCO RIVER NEAR GLENWOOD NM"
"23" "08328950" 17828666 "JECN5" NA 10 11.5 15 NA NA NA "1485" NA NA 35.3947486877441 -106.546112060547 "JEMEZ RIVER OUTLET BELOW JEMEZ CANYON DAM NM"
"24" "08324000" 17826714 "JEZN5" 8 8 10 12 NA "2900" "2900" "5800" "8800" NA 35.662052154541 -106.742897033691 "JEMEZ RIVER NEAR JEMEZ NM"
"25" "08395500" 20783756 "LATN5" 17.5 20 22 25 21.9 "4914" "6434" "7799" "13411.7650913055" 7727 32.9888458251953 -104.323387145996 "PECOS RIVER NEAR LAKE ARTHUR NM"
"26" "07215500" 20044778 "LCVN5" 11 11 13 14 16 "750" "750" "1700" "2600" 20000 35.9281120300293 -105.242469787598 "MORA RIVER AT LA CUEVA NM"
"27" "07227100" 20017399 "LGNN5" 25 30 35 NA 14.3 "79000" "130000" "195000" NA 26700 35.3360900878906 -103.397575378418 "REVUELTO CREEK NEAR LOGAN NM"
"28" "08289000" 17846406 "LMDN5" 7 7 9 10 8.27 "2220" "2220" "4500" "6300" 3640 36.3432235717773 -106.041450500488 "RIO OJO CALIENTE AT LA MADERA NM"
"29" "08380500" 20815196 "MTZN5" NA 7 NA NA NA NA "5100" NA NA NA 35.6503067016602 -105.322128295898 "GALLINAS CREEK NEAR MONTEZUMA NM"
"30" "08313000" 17865930 "OTWN5" 8 9 13 17 14.5 "7900" "10100" "22000" "35000" 22000 35.8740272521973 -106.142501831055 "RIO GRANDE AT OTOWI BRIDGE NM"
"31" "08378500" 20815180 "PCON5" 4.5 5 6 7.5 6.2 "1330" "1330" "2330" "5800" 4500 35.7107849121094 -105.682838439941 "PECOS RIVER NEAR PECOS NM"
"32" "08384500" 20800875 "PSDN5" NA 7.5 NA NA NA NA "12500" NA NA NA 34.5928802490234 -104.403335571289 "PECOS RIVER BELOW SUMNER DAM NM"
"33" "08383500" 20818412 "PUEN5" 10 11 15 19 17 "14700" "19400" "19675" "32898.6021576002" 48600 34.7318267822266 -104.532051086426 "PECOS RIVER NEAR PUERTO DE LUNA NM"
"34" "08286500" 17846526 "RCAN5" 10.2 11 12 13.5 NA "4670" "6610" "12126.3694275735" "29125.8844098674" NA 36.318359375 -106.597106933594 "RIO CHAMA ABOVE ABIQUIU RESERVOIR NM"
"35" "08285500" 17844046 "RCEN5" 6.2 6.8 9 12 12 "4460" "5725" "23269.894916431" "137515.748242978" 9000 36.5795059204102 -106.724411010742 "RIO CHAMA BELOW EL VADO DAM NM"
"36" "08317950" 17835524 "RGCN5" 9 9 10 11 11.6 "1579.19" "1579.19" "2171.53" "2851.52" 3306.7 35.4629516601562 -106.21272277832 "GALISTEO CREEK BELOW GALISTEO DAM NM"
"37" "08334000" 17795246 "RIPN5" 14 14 17 20 14.21 "2900" "2900" "4178.57982160461" "16273.5105081418" 4000 35.6008796691895 -107.164283752441 "RIO PUERCO ABV ARROYO CHICO NR GUADALUPE NM"
"38" "08284100" 165886202 "RLPN5" NA 8 NA NA NA NA "14000" NA NA NA 36.6669425964355 -106.667022705078 "RIO CHAMA NEAR LA PUENTE NM"
"39" "08269000" 17864360 "RPTN5" NA 3 NA NA NA NA "550" NA NA NA 36.4397506713867 -105.50439453125 "RIO PUEBLO DE TAOS NEAR TAOS NM"
"40" "08265000" 17862454 "RRQN5" NA 6 NA NA NA NA "735" NA NA NA 36.7031593322754 -105.569557189941 "RED RIVER NEAR QUESTA NM"
"41" "08386505" 20772466 "RRUN5" NA 4.5 NA 10 NA NA "575" NA "3210" NA 33.3368263244629 -105.716041564941 "RIO RUIDOSO AT RUIDOSO NM"
"42" "09442680" 21353317 "RSFN5" NA 12 13.5 16 NA NA "5810" "9110" "16500" NA 33.7339973449707 -108.761054992676 "SAN FRANCISCO RIVER NEAR RESERVE NM"
"43" "08387000" 20772484 "RUHN5" NA 10 13 15 NA NA "1000" "1900" "2610" NA 33.3303680419922 -105.606826782227 "RIO RUIDOSO AT HOLLYWOOD NM"
"44" "08319000" 17836174 "SFPN5" 8 8.5 9.5 11 11.13 "9800" "12500" "18500" "26500" 27300 35.4198722839355 -106.453536987305 "RIO GRANDE AT SAN FELIPE NM"
"45" "09368000" 17003486 "SHRN5" NA 15.5 18 20.5 NA NA "19000" "30000" NA NA 36.7810401916504 -108.68830871582 "SAN JUAN RIVER AT SHIPROCK NM"
"46" "08358400" 17813236 "SMFN5" 24.5 24.5 26 27.5 NA "169831.543246659" "169831.543246659" "581235.530258339" "1856552.05037641" NA 33.6807823181152 -106.992614746094 "RIO GRANDE FLOODWAY AT SAN MARCIAL NM"
"47" "08354900" 17811742 "SNAN5" 21 23 25 33 NA "15880" "24070" "32670" "15176049.9717139" NA 34.2390899658203 -106.898590087891 "RIO GRANDE FLOODWAY AT SAN ACACIA NM"
"48" "07221500" 20052023 "SNCN5" 21 22 26 30 36.6 "35500" "40000" "61700" "88700" 145000 35.654167175293 -104.379653930664 "CANADIAN RIVER NEAR SANCHEZ NM"
"49" "08276300" 17864480 "TBCN5" 10.5 12 14 16 8.93 "1100" "2100" "506253.165074818" "6356466.25886126" 1660 36.3741874694824 -105.672943115234 "RIO PUEBLO DE TAOS BELOW LOS CORDOVAS NM"
"50" "08276500" 17864594 "TJBN5" 9 10 12 15 9.41 "7750" "9800" "15000" "25000" 9630 36.3131256103516 -105.763763427734 "RIO GRANDE BLW TAOS JUNCTION BRIDGE NEAR TAOS NM"
"51" "07211500" 20050371 "TYLN5" 35 38 43 48 47.4 "76000" "93000" "128000" "170000" 162000 36.2950096130371 -104.493339538574 "CANADIAN RIVER NEAR TAYLOR SPRINGS NM"
"52" "09386950" 20573275 "ZUIN5" NA 8.5 10 NA NA NA "6000" "11800" NA NA 35.1006507873535 -108.751174926758 "ZUNI RIVER ABV BLACK ROCK RESERVOIR NM"
"53" "06471800" 11473702 "AFCS2" 8 9 NA NA 10.38 "324" "596" NA NA 1450 45.5110931396484 -98.5661544799805 "FOOT CREEK NEAR ABERDEEN SD"
"54" "06473000" 12694924 "ATNS2" 12 13 14 16 26.64 "1800" "2150" "2550" "3550" 14928.352 44.996955871582 -98.4799957275391 "JAMES R AT ASHTONSD"
"55" "05291000" 4085588 "BGCS2" 11 12 15 20 26 "3594" "4430" "8161" "22886.1922648614" 29000 45.2912292480469 -96.4829635620117 "WHETSTONE RIVER NEAR BIG STONE CITY SD"
"56" "06471000" 11473636 "CMBS2" 12 13 16 18 19.81 "920" "1112" "1590" "3180" 6200 45.6235771179199 -98.3263397216797 "JAMES R AT COLUMBIASD"
"57" "06479525" 9372528 "CSWS2" 8 9 11 16 13.19 "488" "683" "1484" "14295" 4300 44.7284965515137 -97.042724609375 "BIG SIOUX R NEAR CASTLEWOODSD"
"58" "06479215" 9370700 "FLOS2" 7 8 8.5 9 9.52 "186" "499" "878" "1490" 2000 45.1857223510742 -97.1860885620117 "BIG SIOUX RIVER NR FLORENCESD"
"59" "06441500" 16128803 "FTPS2" 20 21 25 27 32.9 "9580" "10700" "16100" "19600" 70000 44.3316764831543 -100.386611938477 "BAD R NEAR FORT PIERRESD"
"60" "06357800" 21834041 "LIES2" 14 15 17 21 24.6 "13070" "14790" "20010" "37000" 32400 45.6572799682617 -100.81568145752 "GRAND R AT LITTLE EAGLESD"
"61" "06471200" 11446137 "MAPS2" 9 10 13.5 15 16.19 "1110" "1620" "4390" "6050" 5300 45.9359245300293 -98.4540328979492 "MAPLE R AT ND-SD STATE LINE"
"62" "05292000" 4084418 "ORTM5" 9 10 NA NA 12.92 "3010" "3015" NA NA 5790 45.2918853759766 -96.4373397827148 "MINNESOTA RIVER AT ORTONVILLE MN"
"63" "05290000" 4073636 "PVRS2" 16 17 22 24 NA "1420" "1800" "4560" "8181.96178561056" NA 45.6065788269043 -96.87548828125 "LITTLE MINNESOTA RIVER NEAR PEEVER SD"
"64" "06475000" 12695090 "RFDS2" 19 20 22 25 31.1 "4100" "4390" "6200" "8700" 17000 44.9073143005371 -98.4572677612305 "JAMES R NEAR REDFIELDSD"
"65" "06472000" 11479108 "SFDS2" 13 14 17 18.5 21.57 "455" "570" "1565" "3445" 9460 45.2109146118164 -98.4014739990234 "JAMES R NEAR STRATFORDSD"
"66" "06479500" 9372356 "WBSS2" 7 8 10 12 12.49 "341" "512" "1390" "4520" 5800 44.9392623901367 -97.1430511474609 "BIG SIOUX R AT WATERTOWNSD"
"67" "06471500" 11446173 "WESS2" 13 14 16 19 22.63 "2970" "3282" "4423" "6533" 11900 45.5737228393555 -98.4381484985352 "ELM R AT WESTPORTSD"
"68" "06360500" 11258604 "WHIS2" 20 21 23 25 27.68 "13440" "14870" "19360" "24810" 40079.0746939529 45.2606658935547 -100.858894348145 "MOREAU R NEAR WHITEHORSESD"
"69" "05050000" 909020730 "WHRM5" 79 80 84 86 16.9 "338745613.441311" "368688755.065146" "512088511.978089" "600010921.933436" 8750 45.8619003295898 -96.5729141235352 "BOIS DE SIOUX RIVER NEAR WHITE ROCK SD"
"70" "06354882" 14490772 "WKPS2" 9 10 13 16 19.83 "810" "1020" "1750" "2710" 7500 45.7170867919922 -100.553016662598 "OAK CR NEAR WAKPALASD"
"71" "06479438" 9370962 "WTRS2" 9 10 11 12 12.33 "1122" "2192" "4042" "7393" 8000 45.0123291015625 -97.1678009033203 "BIG SIOUX R NEAR WATERTOWNSD"
"72" "01671100" 8507516 "LTTV2" NA NA NA NA 11.09 NA NA NA NA 12000 37.8702583312988 -77.5143280029297 "LITTLE RIVER NEAR DOSWELL VA"
"73" "01672500" 8507536 "AHLV2" NA 12 NA NA 24.99 NA "3520" NA NA 17100 37.7940559387207 -77.5514755249023 "SOUTH ANNA RIVER NEAR ASHLAND VA"
"74" "02079640" 12049196 "ALKV2" NA 15 NA NA 23.35 NA "1250" NA NA 7380 36.6811561584473 -78.3243408203125 "ALLEN CREEK NEAR BOYDTON VA"
"75" "01674500" 8494082 "BLHV2" NA 14 NA NA 24.04 NA "2540" NA NA 12300 37.8828926086426 -77.163200378418 "MATTAPONI RIVER NEAR BEULAHVILLE VA"
"76" "01674000" 8489912 "BWLV2" NA 11 NA NA 18.95 NA "3010" NA NA 13400 38.060302734375 -77.3846054077148 "MATTAPONI RIVER NEAR BOWLING GREEN VA"
"77" "02035000" 8575903 "CARV2" 15 20 23 26.4 37.87 "44600" "70525" "90707" "123876" 362000 37.671142578125 -78.0892028808594 "JAMES RIVER AT CARTERSVILLE VA"
"78" "02042500" 10067073 "CKHV2" NA 10 NA NA 12.58 NA "3620" NA NA 18900 37.439811706543 -77.0713882446289 "CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE VA"
