"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
7288500,"SUNM6",17956869,20.0,21.0,25.0,28.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=sunm6",4407.14,4702.48,5939.03,6920.98,123.39992000000001,131.66943999999998,166.29283999999998,193.78744
6893300,"OPDK1",4392793,10.0,14.0,16.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=opdk1",1818.5,6242.64,9499.11,13467.94,50.918,174.79392,265.97508000000005,377.10232
8136000,"SCCT2",5719546,23.0,26.0,30.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=scct2",26000.0,32640.69,44892.96,"",728.0,913.93932,1257.00288,""
8080500,"AMTT2",13700459,19.0,21.0,35.0,37.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lub&gage=amtt2",8797.16,11780.77,"","",246.32048,329.86156,"",""
3136500,"MVEO1",15401606,11.0,14.0,14.5,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=mveo1",5306.86,8817.22,9535.19,13519.97,148.59207999999998,246.88216,266.98532,378.55915999999996
3086000,"DSHP1",3821223,19.4,25.0,29.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=dshp1",133000.0,238029.77,297612.56,347598.34,3724.0,6664.83356,8333.15168,9732.75352
7185765,"CHTM7",7590273,8.0,10.0,14.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=chtm7",3734.55,5851.74,13657.54,38311.6,104.5674,163.84872,382.41112000000004,1072.7248
2492360,"MNLM6",15707325,12.0,15.0,18.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=mnlm6",1655.54,2600.0,4500.0,7200.0,46.35512,72.8,126.0,201.6
3124800,"NWPO1",19392708,4.1,7.5,9.0,11.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=nwpo1",4389.84,9571.68,"","",122.91552,268.00704,"",""
1379500,"CAMN4",6250836,5.5,6.0,8.0,10.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=camn4",974.65,1350.0,2850.0,"",27.2902,37.800000000000004,79.8,""
7160000,"GTRO2",255270,16.0,18.0,22.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=gtro2",22968.44,32554.36,62326.17,93924.45,643.11632,911.5220800000001,1745.13276,2629.8846
6926510,"STTM7",5987239,16.0,23.0,30.0,35.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=sttm7",48477.02,78947.73,118790.37,"",1357.35656,2210.53644,3326.13036,""
5517000,"KNXI3",13434009,9.0,10.0,12.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=knxi3",2311.64,2909.06,4207.95,4903.88,64.72592,81.45368,117.8226,137.30864
8386000,"ACMN5",20779308,12.0,13.0,14.5,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=acmn5",3828.38,4995.92,7034.56,"",107.19464,139.88576,196.96768,""
1608000,"MOFW2",8420098,8.0,10.0,12.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=mofw2",5980.93,11377.57,18800.0,28000.0,167.46604000000002,318.57196,526.4,784.0
1513831,"OWGN6",8102961,29.0,30.0,32.0,33.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=owgn6",75821.31,82741.94,97210.25,104748.17,2122.99668,2316.77432,2721.887,2932.94876
8167800,"STLT2",1619595,8.0,9.0,10.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=stlt2",4329.58,7003.23,10734.05,"",121.22824,196.09044,300.5534,""
4178000,"NVLI3",15678101,9.0,12.0,14.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=nvli3",982.45,2380.0,4084.88,7994.24,27.5086,66.64,114.37664000000001,223.83872
4189000,"FDYO1",15644224,8.0,11.0,12.0,13.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=fdyo1",2706.61,4363.74,5116.82,6421.47,75.78508000000001,122.18472,143.27096,179.80116
5315000,"MSHM5",4138204,12.0,14.0,15.0,16.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=mshm5",996.82,1630.0,"","",27.910960000000003,45.64,"",""
9024000,"FRWC2",1239657,2.7,3.0,3.5,5.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=frwc2",259.86,323.96,447.28,"",7.27608,9.070879999999999,12.52384,""
8049700,"MNFT2",1268648,21.0,22.0,28.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=mnft2",3205.46,3725.4,10899.49,"",89.75288,104.3112,305.18572,""
6354580,"BVRN8",14665387,9.0,12.0,14.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bis&gage=bvrn8",987.0,2108.07,4837.9,7921.63,27.636,59.025960000000005,135.4612,221.80564
1387500,"MAWN4",6246322,7.5,8.0,9.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=okx&gage=mawn4",2210.41,2819.93,4321.35,10344.89,61.891479999999994,78.95804,120.99780000000001,289.65692
9220000,"SFRW4",3196672,6.5,7.7,7.9,8.1," https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=sfrw4",651.0,1005.31,1074.4,"",18.228,28.14868,30.0832,""
6220800,"WRCW4",12900872,8.5,9.5,10.0,10.5," https://water.weather.gov/ahps2/hydrograph.php?wfo=riw&gage=wrcw4",7542.15,9951.46,11289.6,"",211.18019999999999,278.64088,316.10880000000003,""
13340000,"ORFI1",23606382,16.0,17.0,18.5,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=orfi1",66595.92,75186.78,89024.55,104000.0,1864.68576,2105.22984,2492.6874000000003,2912.0
12510500,"KIOW1",947030106,11.0,13.0,14.5,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=pdt&gage=kiow1",13609.91,18415.31,22388.07,26695.83,381.07748,515.62868,626.86596,747.48324
1481500,"WMND1",4655440,14.5,16.5,18.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=wmnd1",3810.54,8942.34,14000.0,17500.0,106.69512,250.38552,392.0,490.0
1564512,"SLYP1",4699337,8.0,10.0,12.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=slyp1",3400.17,5540.0,8690.69,46259.93,95.20476000000001,155.12,243.33932000000001,1295.2780400000001
5551540,"MNGI2",14762989,12.5,13.0,14.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=mngi2",3460.2,5205.36,9673.96,16342.19,96.8856,145.75008,270.87088,457.58132
2490500,"TYTM6",15687631,14.0,15.0,17.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=tytm6",6100.0,7131.44,9377.7,17467.87,170.8,199.68032,262.5756,489.10035999999997
5369500,"DURW3",13107421,12.0,13.0,15.5,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mpx&gage=durw3",36328.47,42165.29,64604.81,86109.2,1017.19716,1180.62812,1808.93468,2411.0576
3173000,"BANV2",6908597,10.0,11.0,14.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=banv2",5862.54,7800.0,13075.91,19571.7,164.15112,218.4,366.12548,548.0076
5489500,"OTMI4",4995479,9.0,11.5,15.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=otmi4",25177.87,34232.19,47647.45,73465.01,704.98036,958.5013200000001,1334.1286,2057.0202799999997
7289730,"BTAM6",19180610,21.0,22.0,25.0,29.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=btam6",8150.0,8850.0,11850.0,34202.57,228.20000000000002,247.8,331.8,957.67196
5536290,"SHLI2",13463917,15.0,16.5,18.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=shli2",2119.28,2603.71,3122.73,3865.58,59.33984000000001,72.90388,87.43644,108.23624
8039100,"AYIT2",1159329,11.5,12.0,16.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=ayit2",1231.28,1622.32,10087.51,13796.28,34.47584,45.42496,282.45028,386.29584
7025400,"NOMT1",7483456,19.0,20.0,21.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=nomt1",7321.58,9438.22,13068.15,"",205.00424,264.27016,365.9082,""
4186500,"FTJO1",15651789,11.0,13.0,16.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=ftjo1",2909.67,4129.4,6967.62,13230.0,81.47076,115.6232,195.09336,370.44
8136700,"STYT2",5727563,18.0,40.0,45.0,50.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=styt2",23307.84,"","","",652.61952,"","",""
6902000,"SNZM7",5969716,21.0,26.0,28.0,40.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=snzm7",13907.64,22216.09,25977.97,117449.29,389.41392,622.05052,727.3831600000001,3288.58012
