"site_no","site_name","site_tp_cd","dec_lat_va","dec_long_va","dec_coord_datum_cd","alt_va","contrib_drain_area_va","huc2","huc4","huc6","huc8","rfc"
"01010000","St. John River at Ninemile Bridge, Maine","ST",46.70055556,-69.7155556,"NAD83",931.26,1341,"01","0101","010100","01010001","NERFC"
"01010070","Big Black River near Depot Mtn, Maine","ST",46.89388889,-69.7516667,"NAD83",885,171,"01","0101","010100","01010001","NERFC"
"01010500","St. John River at Dickey, Maine","ST",47.11305556,-69.0880556,"NAD83",590.38,2680,"01","0101","010100","01010001","NERFC"
"01011000","Allagash River near Allagash, Maine","ST",47.0697222,-69.0794444,"NAD83",604.6,1229,"01","0101","010100","01010002","NERFC"
"01013500","Fish River near Fort Kent, Maine","ST",47.2375,-68.58277778,"NAD83",511.38,873,"01","0101","010100","01010003","NERFC"
"01014000","St. John River below Fish R, nr Fort Kent, Maine","ST",47.2833333,-68.58527778,"NAD83",505,5680,"01","0101","010100","01010001","NERFC"
"01015800","Aroostook River near Masardis, Maine","ST",46.52305556,-68.3716667,"NAD83",530,892,"01","0101","010100","01010004","NERFC"
"01017000","Aroostook River at Washburn, Maine","ST",46.7772222,-68.1572222,"NAD83",436.4,1654,"01","0101","010100","01010004","NERFC"
"01017060","Hardwood Brook below Glidden Brk nr Caribou, Maine","ST",46.7836111,-67.9891667,"NAD83",486.7,5.7,"01","0101","010100","01010004","NERFC"
"01017290","Little Madawaska River at Caribou, Maine","ST",46.8886111,-67.945,"NAD83",420,234,"01","0101","010100","01010004","NERFC"
"01017550","Williams Brook at Phair, Maine","ST",46.62805556,-67.9530556,"NAD83",580,3.82,"01","0101","010100","01010005","NERFC"
"01017960","Meduxnekeag R above S Br Medux. R nr Houlton, ME","ST",46.105,-67.88138889,"NAD83",355,88,"01","0101","010100","01010005","NERFC"
"01018000","Meduxnekeag River near Houlton, Maine","ST",46.105,-67.8666667,"NAD83",333.92,175,"01","0101","010100","01010005","NERFC"
"01018009","Pearce Brook at Route 1 at Houlton, Maine","ST",46.11527778,-67.84027778,"NAD83",355,7.99,"01","0101","010100","01010005","NERFC"
"01018035","Meduxnekeag River at Lowery Rd. nr Houlton, Maine","ST",46.1811111,-67.80388889,"NAD83",290,257,"01","0101","010100","01010005","NERFC"
"01018500","St. Croix River at Vanceboro, Maine","ST",45.5683333,-67.4283333,"NAD83",367.2,413,"01","0105","010500","01050001","NERFC"
"01019000","Grand Lake Stream at Grand Lake Stream, Maine","ST",45.1725,-67.76888889,"NAD83",273.56,228.3,"01","0105","010500","01050001","NERFC"
"01021000","St. Croix River at Baring, Maine","ST",45.1369444,-67.3180556,"NAD83",65.72,1374,"01","0105","010500","01050001","NERFC"
"01021470","Libby Brook near Northfield, Maine","ST",44.8008333,-67.725,"NAD83",133.16,7.79,"01","0105","010500","01050002","NERFC"
"01021480","Old Stream near Wesley, Maine","ST",44.9369444,-67.7361111,"NAD83",170,29.1,"01","0105","010500","01050002","NERFC"
"01022294","East Br Bear Brook near Beddington, Maine","ST",44.85909167,-68.10396389,"NAD83",906.55,0.042,"01","0105","010500","01050002","NERFC"
"01022500","Narraguagus River at Cherryfield, Maine","ST",44.60805556,-67.93527778,"NAD83",44.2,227,"01","0105","010500","01050002","NERFC"
"01022840","Otter Creek near Bar Harbor, Maine","ST",44.33277778,-68.2066667,"NAD83",90,1.35,"01","0105","010500","01050002","NERFC"
"01027200","North Branch Penobscot River nr Pittston Farm, ME","ST",45.93527778,-69.9936111,"NAD83",1086.2,232,"01","0102","010200","01020001","NERFC"
"01029200","Seboeis River near Shin Pond, Maine","ST",46.14305556,-68.6336111,"NAD83",512,173,"01","0102","010200","01020002","NERFC"
"01029500","East Branch Penobscot River at Grindstone, Maine","ST",45.73027778,-68.5894444,"NAD83",294.74,1086,"01","0102","010200","01020002","NERFC"
"01030350","Wytopitlock Stream near Wytopitlock Maine","ST",45.7086111,-68.1580556,"NAD83",395,48.8,"01","0102","010200","01020003","NERFC"
"01030500","Mattawamkeag River near Mattawamkeag, Maine","ST",45.5011111,-68.3058333,"NAD83",217,1418,"01","0102","010200","01020003","NERFC"
"01031300","Piscataquis River at Blanchard, Maine","ST",45.2672222,-69.58388889,"NAD83",564.09,118,"01","0102","010200","01020004","NERFC"
"01031450","Kingsbury Stream at Abbot Village, Maine","ST",45.1844444,-69.4522222,"NAD83",423,95.4,"01","0102","010200","01020004","NERFC"
"01031500","Piscataquis River near Dover-Foxcroft, Maine","ST",45.175,-69.3147222,"NAD83",358.47,298,"01","0102","010200","01020004","NERFC"
"01031510","Black Stream near Dover-Foxcroft, Maine","ST",45.15027778,-69.23638889,"NAD83",405,26,"01","0102","010200","01020004","NERFC"
"01034000","Piscataquis River at Medford, Maine","ST",45.26055556,-68.8686111,"NAD83",248.68,1162,"01","0102","010200","01020004","NERFC"
"01034500","Penobscot River at West Enfield, Maine","ST",45.2361111,-68.65138889,"NAD83",125.94,6671,"01","0102","010200","01020005","NERFC"
"01037000","Kenduskeag Stream near Bangor, Maine","ST",44.8611111,-68.8316667,"NAD83",69.14,196,"01","0102","010200","01020005","NERFC"
"01037380","Ducktrap River near Lincolnville, Maine","ST",44.32916667,-69.0608333,"NAD83",135,14.4,"01","0105","010500","01050002","NERFC"
"01038000","Sheepscot River at North Whitefield, Maine","ST",44.22277778,-69.59388889,"NAD83",101.05,145,"01","0105","010500","01050003","NERFC"
"01042500","Kennebec River at The Forks, Maine","ST",45.3397222,-69.9619444,"NAD83",569.03,1590,"01","0103","010300","01030001","NERFC"
"01043500","Dead River near Dead River, Maine","ST",45.22905,-70.20112778,"NAD83",1037.32,516,"01","0103","010300","01030002","NERFC"
"01044550","Spencer Stream near Grand Falls, Maine","ST",45.3136111,-70.2416667,"NAD83",1020,193,"01","0103","010300","01030002","NERFC"
"01046000","Austin Stream at Bingham, Maine","ST",45.0644444,-69.8805556,"NAD83",350.14,90,"01","0103","010300","01030003","NERFC"
"01046500","Kennebec River at Bingham, Maine","ST",45.0519444,-69.8855556,"NAD83",330.2,2715,"01","0103","010300","01030003","NERFC"
"01047000","Carrabassett River near North Anson, Maine","ST",44.86916667,-69.955,"NAD83",303.3,353,"01","0103","010300","01030003","NERFC"
"01047150","Kennebec River near Madison, Maine","ST",44.77888889,-69.8869444,"NAD83",180,3245,"01","0103","010300","01030003","NERFC"
"01047200","Sandy River near Madrid, Maine","ST",44.85777778,-70.48527778,"NAD83",930,25.3,"01","0103","010300","01030003","NERFC"
"01048000","Sandy River near Mercer, Maine","ST",44.70805556,-69.9375,"NAD83",197.1,516,"01","0103","010300","01030003","NERFC"
"01048220","East Branch Wesserunsett Stream near Athens, Maine","ST",44.9475,-69.6569444,"NAD83",500,19.5,"01","0103","010300","01030003","NERFC"
"01049265","Kennebec River at North Sidney, Maine","ST",44.4722222,-69.68388889,"NAD83",15.12,5403,"01","0103","010300","01030003","NERFC"
"01049500","Cobbosseecontee Stream at Gardiner, Maine","ST",44.22916667,-69.7780556,"NAD83",20,217,"01","0103","010300","01030003","NERFC"
